nombre,actividad_tipo,municipio_codigo,municipio_nombre,longitud,latitud,year
Zapatos y Complementos Raher,zapateria calzado,38017,Granadilla de Abona,-16.577256,28.12287039,2016-01-01
Zapatero Ramos,zapateria calzado taller,38038,Santa Cruz de Tenerife,-16.27134252,28.46887981,2016-01-01
Zapatero,bar,38001,Adeje,-16.73261535,28.08129759,2017-01-01
Zapateria y Llaves,zapateria calzado taller,38038,Santa Cruz de Tenerife,-16.251541,28.46226999,2018-01-01
Zapateria y Llaves,zapateria calzado taller,38038,Santa Cruz de Tenerife,-16.251541,28.46226999,2017-01-01
Zapateria y Llaves,zapateria calzado taller,38038,Santa Cruz de Tenerife,-16.251541,28.46226999,2016-01-01
Zapateria Taller Ramon,zapateria calzado taller,38031,Los Realejos,-16.57888518,28.39789744,2016-01-01
Zapateria Silvia,zapateria calzado,38006,Arona,-16.70976834,28.04573677,2017-01-01
Zapateria Silvia,zapateria calzado,38006,Arona,-16.70976834,28.04573677,2016-01-01
Zapateria San Isidro,zapateria calzado,38017,Granadilla de Abona,-16.557227,28.07513399,2016-01-01
Zapateria Nenes,zapateria calzado,38038,Santa Cruz de Tenerife,-16.300181,28.44444899,2018-01-01
Zapateria Nenes,zapateria calzado,38038,Santa Cruz de Tenerife,-16.300251,28.44447199,2018-01-01
Zapateria Nenes,zapateria calzado,38038,Santa Cruz de Tenerife,-16.300181,28.44444899,2016-01-01
Zapateria Nenes,zapateria calzado,38038,Santa Cruz de Tenerife,-16.300181,28.44444899,2017-01-01
Zapateria Nenes,zapateria calzado,38038,Santa Cruz de Tenerife,-16.300251,28.44447199,2016-01-01
Zapateria Nenes,zapateria calzado,38038,Santa Cruz de Tenerife,-16.300251,28.44447199,2017-01-01
Zapateria Maruja,zapateria calzado,38023,La Laguna,-16.313587,28.49271599,2016-01-01
Zapateria La Gallega,zapateria calzado taller,38038,Santa Cruz de Tenerife,-16.2630788,28.46038797,2017-01-01
Zapateria La Gallega,zapateria calzado,38038,Santa Cruz de Tenerife,-16.31977989,28.43595928,2016-01-01
Zapateria La Gallega,zapateria calzado taller,38038,Santa Cruz de Tenerife,-16.2630788,28.46038797,2016-01-01
Zapateria Infantil Pasitos,zapateria calzado,38028,Puerto de la Cruz,-16.548535,28.41596999,2020-01-01
Zapateria Infantil Pasitos,zapateria calzado,38028,Puerto de la Cruz,-16.548535,28.41596999,2016-01-01
Zapateria Infantil Pasitos,zapateria calzado,38028,Puerto de la Cruz,-16.548535,28.41596999,2017-01-01
Zapateria Infantil Pasitos,zapateria calzado,38028,Puerto de la Cruz,-16.548535,28.41596999,2018-01-01
Zapateria Infantil Pasitos,zapateria calzado,38028,Puerto de la Cruz,-16.548535,28.41596999,2019-01-01
Zapateria Infantil Pasitos,zapateria calzado,38028,Puerto de la Cruz,-16.548535,28.41596999,2021-01-01
Zapateria Infantil Pasitos,zapateria calzado,38028,Puerto de la Cruz,-16.548535,28.41596999,2022-01-01
Zapateria Hernandez,zapateria calzado,38023,La Laguna,-16.32096064,28.48945663,2018-01-01
Zapateria Hernandez,zapateria calzado,38023,La Laguna,-16.32096064,28.48945663,2017-01-01
Zapateria Hernandez,zapateria calzado,38023,La Laguna,-16.32096064,28.48945663,2016-01-01
Zapateria Goray,zapateria calzado,38038,Santa Cruz de Tenerife,-16.26418348,28.4686986,2016-01-01
Zapateria Estilo,zapateria calzado,38028,Puerto de la Cruz,-16.54767436,28.41691739,2021-01-01
Zapateria Estilo,zapateria calzado,38028,Puerto de la Cruz,-16.54767436,28.41691739,2020-01-01
Zapateria Estilo,zapateria calzado,38028,Puerto de la Cruz,-16.54767436,28.41691739,2022-01-01
Zapateria Estilo,zapateria calzado,38028,Puerto de la Cruz,-16.54767436,28.41691739,2016-01-01
